POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
1,Nicholas PooranLSG,288,5,5,1,87*,72.00,128,225.00,0,3,25,24
2,Sai SudharsanGT,273,5,5,0,82,54.60,180,151.66,0,3,24,12
3,Mitchell MarshLSG,265,5,5,0,81,53.00,147,180.27,0,4,28,15
4,Jos ButtlerGT,202,5,5,1,73*,50.50,124,162.90,0,2,19,9
5,Surya Kumar YadavMI,199,5,5,1,67,49.75,132,150.75,0,1,20,8
6,Ajinkya RahaneKKR,184,5,5,0,61,36.80,115,160.00,0,2,17,12
7,Sanju SamsonRR,178,5,5,0,66,35.60,118,150.84,0,1,20,7
8,Shreyas IyerPBKS,168,4,4,2,97*,84.00,84,200.00,0,2,10,14
9,Virat KohliRCB,164,4,4,1,67,54.67,114,143.85,0,2,15,6
10,Rajat PatidarRCB,161,4,4,0,64,40.25,92,175.00,0,2,16,8
11,Priyansh AryaPBKS,158,4,4,0,103,39.50,75,210.66,1,0,15,11
12,Heinrich KlaasenSRH,152,5,5,0,34,30.40,90,168.88,0,0,13,7
13,N Tilak VarmaMI,151,5,4,0,56,37.75,113,133.62,0,1,11,7
14,Travis HeadSRH,148,5,5,0,67,29.60,78,189.74,0,1,21,6
15,Shubman GillGT,148,5,5,1,61*,37.00,101,146.53,0,1,16,5
16,Rachin RavindraCSK,145,5,5,1,65*,36.25,109,133.02,0,1,13,4
17,Aiden MarkramLSG,144,5,5,0,53,28.80,101,142.57,0,1,11,8
18,Aniket VermaSRH,141,5,5,0,74,28.20,77,183.11,0,1,8,12
19,Shimron HetmyerRR,140,5,5,0,52,28.00,91,153.84,0,1,9,9
20,Sherfane RutherfordGT,136,5,5,2,46,45.33,76,178.94,0,0,11,10
21,Riyan ParagRR,135,5,5,1,43*,33.75,84,160.71,0,0,7,11
22,Angkrish RaghuvanshiKKR,133,5,5,1,50,33.25,91,146.15,0,1,13,4
23,Ishan KishanSRH,127,5,5,1,106*,31.75,72,176.38,1,0,13,6
24,Dhruv JurelRR,124,5,5,1,70,31.00,79,156.96,0,1,12,7
25,Ruturaj GaikwadCSK,122,5,5,0,63,24.40,81,150.61,0,2,14,4
26,Quinton De KockKKR,118,5,5,1,97*,29.50,84,140.47,0,1,9,8
27,Nehal WadheraPBKS,114,3,3,1,62,57.00,73,156.16,0,1,7,8
28,Venkatesh IyerKKR,114,5,4,0,60,28.50,74,154.05,0,1,14,4
29,Nitish RanaRR,113,5,5,0,81,22.60,63,179.36,0,1,14,5
30,Nitish Kumar ReddySRH,112,5,5,0,32,22.40,94,119.14,0,0,11,2
