POS,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
1,Noor AhmadCSK,10,4,4,15.0,118,18/4,11.80,7.86,9.00,1,0
2,Mohammed SirajGT,9,4,4,16.0,124,17/4,13.77,7.75,10.66,1,0
3,Mitchell StarcDC,9,3,3,11.4,104,35/5,11.55,8.91,7.77,0,1
4,Sai KishoreGT,8,4,4,16.0,113,30/3,14.12,7.06,12.00,0,0
5,Khaleel AhmedCSK,8,4,4,16.0,120,29/3,15.00,7.50,12.00,0,0
6,Hardik PandyaMI,8,3,3,10.0,75,36/5,9.37,7.50,7.50,0,1
7,Shardul ThakurLSG,7,4,4,13.0,132,34/4,18.85,10.15,11.14,1,0
8,Kuldeep YadavDC,6,2,3,12.0,72,22/3,12.00,6.00,12.00,0,0
9,Varun ChakaravarthyKKR,6,4,4,15.0,94,22/3,15.66,6.26,15.00,0,0
10,Josh HazlewoodRCB,6,3,3,11.5,86,21/3,14.33,7.26,11.83,0,0
11,Digvesh SinghLSG,6,4,4,16.0,122,30/2,20.33,7.62,16.00,0,0
12,Vaibhav AroraKKR,6,3,3,11.0,104,29/3,17.33,9.45,11.00,0,0
13,Arshdeep SinghPBKS,6,3,3,12.0,114,43/3,19.00,9.50,12.00,0,0
14,Wanindu HasarangaRR,6,3,3,11.0,105,35/4,17.50,9.54,11.00,1,0
15,Prasidh KrishnaGT,5,4,4,15.0,110,18/2,22.00,7.33,18.00,0,0
16,Matheesha PathiranaCSK,5,3,3,12.0,95,28/2,19.00,7.91,14.40,0,0
17,Vignesh PuthurMI,5,3,3,10.0,84,32/3,16.80,8.40,12.00,0,0
18,Mohammad ShamiSRH,5,5,5,17.0,158,28/2,31.60,9.29,20.40,0,0
19,Ashwani KumarMI,5,2,2,6.0,63,24/4,12.60,10.50,7.20,1,0
20,Maheesh TheekshanaRR,4,3,4,16.0,140,26/2,35.00,8.75,24.00,0,0
21,Sandeep SharmaRR,4,4,4,14.0,125,21/2,31.25,8.92,21.00,0,0
22,Zeeshan AnsariSRH,4,3,3,11.0,100,42/3,25.00,9.09,16.50,0,0
23,Harshal PatelSRH,4,4,4,13.0,122,34/2,30.50,9.38,19.50,0,0
24,Deepak ChaharMI,4,4,4,10.0,99,19/2,24.75,9.90,15.00,0,0
25,Jofra ArcherRR,4,4,4,13.3,147,25/3,36.75,10.88,20.25,0,0
26,Pat CumminsSRH,4,5,5,16.4,186,29/2,46.50,11.16,25.00,0,0
27,Andre RussellKKR,4,4,2,4.3,56,21/2,14.00,12.44,6.75,0,0
28,Yash DayalRCB,3,3,3,9.0,63,18/2,21.00,7.00,18.00,0,0
29,Trent BoultMI,3,4,4,14.0,112,23/1,37.33,8.00,28.00,0,0
30,Lockie FergusonPBKS,3,2,2,7.0,63,37/2,21.00,9.00,14.00,0,0
31,Ravichandran AshwinCSK,3,4,4,13.0,120,22/1,40.00,9.23,26.00,0,0
32,Harshit RanaKKR,3,4,4,12.0,111,36/2,37.00,9.25,24.00,0,0
33,Marco JansenPBKS,3,3,3,12.0,117,28/1,39.00,9.75,24.00,0,0
34,Krunal PandyaRCB,3,3,3,9.0,89,29/3,29.66,9.88,18.00,0,0
35,Vipraj NigamDC,3,3,3,8.0,83,27/2,27.66,10.37,16.00,0,0
36,Tushar DeshpandeRR,3,3,3,9.0,96,44/3,32.00,10.66,18.00,0,0
37,Ravi BishnoiLSG,3,4,4,15.0,178,53/2,59.33,11.86,30.00,0,0
38,Moeen AliKKR,2,2,1,4.0,23,23/2,11.50,5.75,12.00,0,0
39,Bhuvneshwar KumarRCB,2,2,2,7.0,43,20/1,21.50,6.14,21.00,0,0
40,Liam LivingstoneRCB,2,3,3,7.0,54,28/2,27.00,7.71,21.00,0,0
41,Sunil NarineKKR,2,3,3,11.0,89,27/1,44.50,8.09,33.00,0,0
42,Ravindra JadejaCSK,2,4,4,10.0,87,10/1,43.50,8.70,30.00,0,0
43,Glenn MaxwellPBKS,2,3,3,6.0,54,22/1,27.00,9.00,18.00,0,0
44,Mukesh KumarDC,2,3,3,8.0,75,22/1,37.50,9.37,24.00,0,0
45,M SiddharthLSG,2,2,2,7.0,67,39/2,33.50,9.57,21.00,0,0
46,Kagiso RabadaGT,2,2,2,8.0,83,41/1,41.50,10.37,24.00,0,0
47,Avesh KhanLSG,2,3,3,11.0,115,40/1,57.50,10.45,33.00,0,0
48,Adam ZampaSRH,2,2,2,8.0,94,46/1,47.00,11.75,24.00,0,0
49,Simarjeet SinghSRH,2,4,4,10.0,141,46/2,70.50,14.10,30.00,0,0
50,Will JacksMI,1,3,1,4.0,32,32/1,32.00,8.00,24.00,0,0
51,Kamindu MendisSRH,1,2,2,2.0,16,4/1,16.00,8.00,12.00,0,0
52,Mitchell SantnerMI,1,4,4,12.3,112,17/1,112.00,8.96,75.00,0,0
53,Mohit SharmaDC,1,3,3,10.0,94,25/1,94.00,9.40,60.00,0,0
54,Nathan EllisCSK,1,1,1,4.0,38,38/1,38.00,9.50,24.00,0,0
55,Prince YadavLSG,1,2,2,8.0,76,29/1,76.00,9.50,48.00,0,0
56,Suyash SharmaRCB,1,2,2,8.0,79,47/1,79.00,9.87,48.00,0,0
57,Yuzvendra ChahalPBKS,1,3,3,10.0,102,36/1,102.00,10.20,60.00,0,0
58,Rashid KhanGT,1,4,4,14.0,143,48/1,143.00,10.21,84.00,0,0
59,Kumar Kartikeya SinghRR,1,2,2,3.0,31,21/1,31.00,10.33,18.00,0,0
60,Spencer JohnsonKKR,1,3,3,8.2,87,42/1,87.00,10.44,50.00,0,0
61,Akash DeepLSG,1,1,1,4.0,46,46/1,46.00,11.50,24.00,0,0
62,Rasikh DarRCB,1,2,2,6.0,70,35/1,70.00,11.66,36.00,0,0
63,Ishant SharmaGT,1,3,3,8.0,97,27/1,97.00,12.12,48.00,0,0
64,Mohd Arshad KhanGT,1,2,2,3.0,38,17/1,38.00,12.66,18.00,0,0
65,V Satyanarayana PenmetsaMI,1,2,2,4.0,53,40/1,53.00,13.25,24.00,0,0
66,Mujeeb-ur-RahmanMI,1,1,1,2.0,28,28/1,28.00,14.00,12.00,0,0
