Player,Runs,SR,Wkts,Econ
Abdul Samad,115,185.48,,
Abhinav Manohar,49,98.00,,
Abhishek Sharma,314,180.45,,
Abishek Porel,257,153.89,,
Adam Zampa,,,2,11.75
Aiden Markram,335,147.57,4,8.80
Ajinkya Rahane,297,149.24,,
Akash Deep,,,3,12.25
Akash Madhwal,4,44.44,,
Andre Russell,72,130.90,8,12.00
Angkrish Raghuvanshi,241,146.95,,
Aniket Verma,193,154.40,,
Anrich Nortje,,,1,7.66
Anshul Kamboj,5,62.50,3,7.50
Anukul Roy,,,1,6.75
Arshdeep Singh,2,33.33,13,8.50
Ashutosh Sharma,145,170.58,,
Ashwani Kumar,,,6,13.12
Avesh Khan,2,100.00,10,9.61
Axar Patel,232,161.11,5,8.16
Ayush Badoni,252,142.37,,
Ayush Mhatre,69,172.50,,
Azmatullah Omarzai,16,106.66,1,11.33
Bhuvneshwar Kumar,10,47.61,12,8.35
Corbin Bosch,20,200.00,1,7.85
David Miller,142,126.78,,
Deepak Chahar,29,170.58,9,9.18
Deepak Hooda,31,75.60,,
Devdutt Padikkal,230,154.36,,
Devon Conway,94,127.02,,
Dewald Brevis,74,145.09,,
Dhruv Jurel,249,147.33,,
Digvesh Singh,1,33.33,10,7.75
Donovan Ferreira,1,33.33,,
Dushmantha Chameera,2,50.00,3,10.55
Eshan Malinga,,,5,10.36
Faf Du Plessis,165,134.14,,
Fazalhaq Farooqi,2,100.00,,
Gerald Coetzee,,,1,9.00
Glenn Maxwell,48,97.95,4,8.46
Hardik Pandya,157,172.52,13,8.85
Harpreet Brar,,,4,9.12
Harshal Patel,21,80.76,13,9.50
Harshit Rana,23,71.87,11,9.81
Heinrich Klaasen,311,153.96,,
Ishan Kishan,196,144.11,,
Ishant Sharma,,,4,11.18
Jacob Bethell,12,200.00,,
Jake Fraser - McGurk,55,105.76,,
Jamie Overton,15,214.28,,
Jasprit Bumrah,,,11,6.96
Jaydev Unadkat,,,6,8.19
Jitesh Sharma,121,147.56,,
Jofra Archer,51,121.42,10,9.66
Jos Buttler,470,169.06,,
Josh Hazlewood,,,18,8.44
Josh Inglis,62,119.23,,
K L Rahul,371,146.06,,
Kagiso Rabada,7,140.00,2,10.37
Kamindu Mendis,60,125.00,2,8.57
Karn Sharma,,,6,8.40
Karun Nair,154,177.01,,
Khaleel Ahmed,1,50.00,14,8.85
Krunal Pandya,97,129.33,13,8.62
Kuldeep Yadav,11,137.50,12,6.74
Kulwant Khejroliya,,,1,9.66
Kumar Kartikeya Singh,3,60.00,2,9.75
Liam Livingstone,87,127.94,2,8.44
Lockie Ferguson,4,400.00,5,9.17
M Siddharth,,,2,9.57
MS Dhoni,151,148.03,,
Maheesh Theekshana,10,37.03,10,9.71
Manish Pandey,19,135.71,,
Manoj Bhandage,1,25.00,,
Marco Jansen,75,122.95,10,8.92
Marcus Stoinis,67,152.27,,
Matheesha Pathirana,,,9,10.39
Mayank Yadav,,,2,10.00
Mitchell Marsh,378,158.82,,
Mitchell Santner,39,134.48,4,8.28
Mitchell Starc,5,55.55,14,10.16
Moeen Ali,5,35.71,3,6.36
Mohammad Shami,10,100.00,6,11.23
Mohammed Siraj,,,14,8.94
Mohd Arshad Khan,1,100.00,3,10.36
Mohit Sharma,1,33.33,2,10.00
Mujeeb-ur-Rahman,,,1,14.00
Mukesh Choudhary,,,1,11.83
