players
Virat Kohli
Rajat Patidar
Yash Dayal
Jasprit Bumrah
Surya Kumar Yadav
Hardik Pandya
Rohit Sharma
N Tilak Varma
Heinrich Klaasen
Pat Cummins
Abhishek Sharma
Travis Head
Nitish Kumar Reddy
Ruturaj Gaikwad
Ravindra Jadeja
Matheesha Pathirana
Shivam Dube
MS Dhoni
Axar Patel
Kuldeep Yadav
Tristan Stubbs
Abishek Porel
Rinku Singh
Varun Chakaravarthy
Sunil Narine
Andre Russell
Harshit Rana
Ramandeep Singh
Sanju Samson
Yashasvi Jaiswal
Riyan Parag
Dhruv Jurel
Shimron Hetmyer
Sandeep Sharma
Rashid Khan
Shubman Gill
Sai Sudharsan
Rahul Tewatia
Shahrukh Khan
Nicholas Pooran
Ravi Bishnoi
Mayank Yadav
Mohsin Khan
Ayush Badoni
Shashank Singh
Prabhsimran Singh
Jos Buttler
Shreyas Iyer
Rishabh Pant
Kagiso Rabada
Arshdeep Singh
Mitchell Starc
Yuzvendra Chahal
Liam Livingstone
David Miller
KL Rahul
Mohammad Shami
Mohammed Siraj
Harry Brook
Devon Conway
Jake Fraser - McGurk
Aiden Markram
Devdutt Padikkal
Rahul Tripathi
David Warner
Ravichandran Ashwin
Venkatesh Iyer
Mitchell Marsh
Glenn Maxwell
Harshal Patel
Rachin Ravindra
Marcus Stoinis
Jonny Bairstow
Quinton de Kock
Rahmanullah Gurbaz
Ishan Kishan
Phil Salt
Jitesh Sharma
Khaleel Ahmed
Trent Boult
Josh Hazlewood
Avesh Khan
Prasidh Krishna
T Natarajan
Anrich Nortje
Noor Ahmad
Rahul Chahar
Wanindu Hasaranga
Waqar Salamkheil
Maheesh Theekshana
Adam Zampa
Yash Dhull
Abhinav Manohar
Karun Nair
Angkrish Raghuvanshi
Anmolpreet Singh
Atharva Taide
Nehal Wadhera
Harpreet Brar
Naman Dhir
Mahipal Lomror
Sameer Rizvi
Abdul Samad
Vijay Shankar
Ashutosh Sharma
Nishant Sindhu
Utkarsh Singh
Aryan Juyal
Kumar Kushagra
Robin Minz
Anuj Rawat
Luvnith Sisodia
Vishnu Vinod
Upendra Yadav
Vaibhav Arora
Rasikh Salam
Akash Madhwal
Mohit Sharma
Simarjeet Singh
Yash Thakur
Kartik Tyagi
Vijaykumar Vyshak
Piyush Chawla
Shreyas Gopal
Mayank Markande
Suyash Sharma
Karn Sharma
Kumar Kartikeya
Manav Suthar
Mayank Agarawal
Faf du Plessis
Glenn Phillips
Rovman Powell
Ajinkya Rahane
Prithvi Shaw
Kane Williamson
Sam Curran
Marco Jansen
Daryl Mitchell
Krunal Pandya
Nitish Rana
Washington Sundar
Shardul Thakur
Srikar Bharat
Alex Carey
Donovan Ferreira
Shai Hope
Josh Inglis
Ryan Rickelton
Deepak Chahar
Gerald Coetzee
Akash Deep
Tushar Deshpande
Lockie Ferguson
Bhuvneshwar Kumar
Mukesh Kumar
AM Ghazanfar
Akeal Hosein
Keshav Maharaj
